date,fund_house,isin_div_reinvestment,isin_growth,nav,scheme_category,scheme_code,scheme_name,scheme_type
28-04-2026,SBI Mutual Fund,,INF200K01T51,193.48430,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-04-2026,SBI Mutual Fund,,INF200K01T51,193.83170,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-04-2026,SBI Mutual Fund,,INF200K01T51,191.04250,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-04-2026,SBI Mutual Fund,,INF200K01T51,193.03170,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
22-04-2026,SBI Mutual Fund,,INF200K01T51,194.19280,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
21-04-2026,SBI Mutual Fund,,INF200K01T51,192.63970,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-04-2026,SBI Mutual Fund,,INF200K01T51,191.05830,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-04-2026,SBI Mutual Fund,,INF200K01T51,190.52420,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-04-2026,SBI Mutual Fund,,INF200K01T51,188.33160,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
15-04-2026,SBI Mutual Fund,,INF200K01T51,187.27860,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-04-2026,SBI Mutual Fund,,INF200K01T51,184.34910,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-04-2026,SBI Mutual Fund,,INF200K01T51,184.69670,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-04-2026,SBI Mutual Fund,,INF200K01T51,181.24550,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-04-2026,SBI Mutual Fund,,INF200K01T51,180.57830,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
07-04-2026,SBI Mutual Fund,,INF200K01T51,174.83420,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-04-2026,SBI Mutual Fund,,INF200K01T51,174.91510,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-04-2026,SBI Mutual Fund,,INF200K01T51,173.84710,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
01-04-2026,SBI Mutual Fund,,INF200K01T51,173.78200,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
31-03-2026,SBI Mutual Fund,,INF200K01T51,169.37060,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-03-2026,SBI Mutual Fund,,INF200K01T51,169.37080,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-03-2026,SBI Mutual Fund,,INF200K01T51,172.47390,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
25-03-2026,SBI Mutual Fund,,INF200K01T51,175.42110,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-03-2026,SBI Mutual Fund,,INF200K01T51,172.00490,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-03-2026,SBI Mutual Fund,,INF200K01T51,169.10910,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-03-2026,SBI Mutual Fund,,INF200K01T51,174.62050,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-03-2026,SBI Mutual Fund,,INF200K01T51,173.90040,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-03-2026,SBI Mutual Fund,,INF200K01T51,177.49080,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-03-2026,SBI Mutual Fund,,INF200K01T51,174.06280,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-03-2026,SBI Mutual Fund,,INF200K01T51,173.81980,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-03-2026,SBI Mutual Fund,,INF200K01T51,173.97540,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-03-2026,SBI Mutual Fund,,INF200K01T51,177.98880,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-03-2026,SBI Mutual Fund,,INF200K01T51,178.38910,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-03-2026,SBI Mutual Fund,,INF200K01T51,178.84190,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-03-2026,SBI Mutual Fund,,INF200K01T51,175.77420,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-03-2026,SBI Mutual Fund,,INF200K01T51,178.97840,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-03-2026,SBI Mutual Fund,,INF200K01T51,179.32390,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-03-2026,SBI Mutual Fund,,INF200K01T51,177.99610,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-03-2026,SBI Mutual Fund,,INF200K01T51,181.31750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
28-02-2026,SBI Mutual Fund,,INF200K01T51,184.75790,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-02-2026,SBI Mutual Fund,,INF200K01T51,184.75810,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
26-02-2026,SBI Mutual Fund,,INF200K01T51,186.09500,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
25-02-2026,SBI Mutual Fund,,INF200K01T51,186.04880,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-02-2026,SBI Mutual Fund,,INF200K01T51,186.20800,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-02-2026,SBI Mutual Fund,,INF200K01T51,187.57210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-02-2026,SBI Mutual Fund,,INF200K01T51,186.22280,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-02-2026,SBI Mutual Fund,,INF200K01T51,186.66660,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-02-2026,SBI Mutual Fund,,INF200K01T51,188.21280,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-02-2026,SBI Mutual Fund,,INF200K01T51,187.64370,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-02-2026,SBI Mutual Fund,,INF200K01T51,185.84710,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-02-2026,SBI Mutual Fund,,INF200K01T51,187.23600,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-02-2026,SBI Mutual Fund,,INF200K01T51,189.60290,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-02-2026,SBI Mutual Fund,,INF200K01T51,189.74640,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-02-2026,SBI Mutual Fund,,INF200K01T51,189.01900,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-02-2026,SBI Mutual Fund,,INF200K01T51,188.46900,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-02-2026,SBI Mutual Fund,,INF200K01T51,184.62700,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-02-2026,SBI Mutual Fund,,INF200K01T51,185.69490,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-02-2026,SBI Mutual Fund,,INF200K01T51,186.77740,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
03-02-2026,SBI Mutual Fund,,INF200K01T51,186.70090,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-02-2026,SBI Mutual Fund,,INF200K01T51,180.54240,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
31-01-2026,SBI Mutual Fund,,INF200K01T51,183.30100,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-01-2026,SBI Mutual Fund,,INF200K01T51,183.30210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
29-01-2026,SBI Mutual Fund,,INF200K01T51,179.94080,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
28-01-2026,SBI Mutual Fund,,INF200K01T51,181.08730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-01-2026,SBI Mutual Fund,,INF200K01T51,179.55150,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-01-2026,SBI Mutual Fund,,INF200K01T51,179.80350,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
22-01-2026,SBI Mutual Fund,,INF200K01T51,182.75440,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
21-01-2026,SBI Mutual Fund,,INF200K01T51,181.53250,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-01-2026,SBI Mutual Fund,,INF200K01T51,181.83500,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-01-2026,SBI Mutual Fund,,INF200K01T51,185.40420,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-01-2026,SBI Mutual Fund,,INF200K01T51,186.97190,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
14-01-2026,SBI Mutual Fund,,INF200K01T51,187.33750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-01-2026,SBI Mutual Fund,,INF200K01T51,187.65940,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-01-2026,SBI Mutual Fund,,INF200K01T51,186.18370,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-01-2026,SBI Mutual Fund,,INF200K01T51,187.09710,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-01-2026,SBI Mutual Fund,,INF200K01T51,190.16000,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
07-01-2026,SBI Mutual Fund,,INF200K01T51,193.31730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-01-2026,SBI Mutual Fund,,INF200K01T51,193.70270,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-01-2026,SBI Mutual Fund,,INF200K01T51,194.37860,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-01-2026,SBI Mutual Fund,,INF200K01T51,194.57400,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
01-01-2026,SBI Mutual Fund,,INF200K01T51,193.64170,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
31-12-2025,SBI Mutual Fund,,INF200K01T51,193.77240,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-12-2025,SBI Mutual Fund,,INF200K01T51,191.95010,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
29-12-2025,SBI Mutual Fund,,INF200K01T51,192.54100,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
26-12-2025,SBI Mutual Fund,,INF200K01T51,192.59130,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-12-2025,SBI Mutual Fund,,INF200K01T51,193.28480,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-12-2025,SBI Mutual Fund,,INF200K01T51,193.26520,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
22-12-2025,SBI Mutual Fund,,INF200K01T51,192.25730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-12-2025,SBI Mutual Fund,,INF200K01T51,191.11570,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-12-2025,SBI Mutual Fund,,INF200K01T51,189.54200,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-12-2025,SBI Mutual Fund,,INF200K01T51,190.06210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-12-2025,SBI Mutual Fund,,INF200K01T51,191.31430,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
15-12-2025,SBI Mutual Fund,,INF200K01T51,193.13250,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-12-2025,SBI Mutual Fund,,INF200K01T51,192.33770,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-12-2025,SBI Mutual Fund,,INF200K01T51,191.49520,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-12-2025,SBI Mutual Fund,,INF200K01T51,191.25570,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-12-2025,SBI Mutual Fund,,INF200K01T51,191.35730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-12-2025,SBI Mutual Fund,,INF200K01T51,190.15910,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-12-2025,SBI Mutual Fund,,INF200K01T51,193.14510,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-12-2025,SBI Mutual Fund,,INF200K01T51,193.45990,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
03-12-2025,SBI Mutual Fund,,INF200K01T51,194.33550,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
02-12-2025,SBI Mutual Fund,,INF200K01T51,194.43120,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
01-12-2025,SBI Mutual Fund,,INF200K01T51,195.36260,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-11-2025,SBI Mutual Fund,,INF200K01T51,194.97900,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
28-11-2025,SBI Mutual Fund,,INF200K01T51,194.97840,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-11-2025,SBI Mutual Fund,,INF200K01T51,195.14900,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
26-11-2025,SBI Mutual Fund,,INF200K01T51,195.85550,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
25-11-2025,SBI Mutual Fund,,INF200K01T51,194.20420,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-11-2025,SBI Mutual Fund,,INF200K01T51,193.90920,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
21-11-2025,SBI Mutual Fund,,INF200K01T51,194.25170,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-11-2025,SBI Mutual Fund,,INF200K01T51,196.07320,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-11-2025,SBI Mutual Fund,,INF200K01T51,196.52800,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-11-2025,SBI Mutual Fund,,INF200K01T51,196.94780,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-11-2025,SBI Mutual Fund,,INF200K01T51,197.92120,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
14-11-2025,SBI Mutual Fund,,INF200K01T51,197.06760,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-11-2025,SBI Mutual Fund,,INF200K01T51,196.54650,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-11-2025,SBI Mutual Fund,,INF200K01T51,196.88400,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-11-2025,SBI Mutual Fund,,INF200K01T51,196.44860,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-11-2025,SBI Mutual Fund,,INF200K01T51,196.24510,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
07-11-2025,SBI Mutual Fund,,INF200K01T51,197.31500,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-11-2025,SBI Mutual Fund,,INF200K01T51,197.80320,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-11-2025,SBI Mutual Fund,,INF200K01T51,200.46780,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
03-11-2025,SBI Mutual Fund,,INF200K01T51,200.97090,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
31-10-2025,SBI Mutual Fund,,INF200K01T51,199.82340,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-10-2025,SBI Mutual Fund,,INF200K01T51,200.51850,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
29-10-2025,SBI Mutual Fund,,INF200K01T51,201.03750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
28-10-2025,SBI Mutual Fund,,INF200K01T51,200.63480,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
27-10-2025,SBI Mutual Fund,,INF200K01T51,199.79650,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-10-2025,SBI Mutual Fund,,INF200K01T51,198.41150,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-10-2025,SBI Mutual Fund,,INF200K01T51,198.75210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
20-10-2025,SBI Mutual Fund,,INF200K01T51,197.52580,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-10-2025,SBI Mutual Fund,,INF200K01T51,197.10750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-10-2025,SBI Mutual Fund,,INF200K01T51,196.95210,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
15-10-2025,SBI Mutual Fund,,INF200K01T51,194.70000,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
14-10-2025,SBI Mutual Fund,,INF200K01T51,193.39750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
13-10-2025,SBI Mutual Fund,,INF200K01T51,194.53640,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-10-2025,SBI Mutual Fund,,INF200K01T51,195.11850,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-10-2025,SBI Mutual Fund,,INF200K01T51,195.03760,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-10-2025,SBI Mutual Fund,,INF200K01T51,195.85870,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
07-10-2025,SBI Mutual Fund,,INF200K01T51,196.42940,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
06-10-2025,SBI Mutual Fund,,INF200K01T51,196.54830,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
03-10-2025,SBI Mutual Fund,,INF200K01T51,196.29650,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
01-10-2025,SBI Mutual Fund,,INF200K01T51,195.08560,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
30-09-2025,SBI Mutual Fund,,INF200K01T51,193.88220,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
26-09-2025,SBI Mutual Fund,,INF200K01T51,194.09730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
25-09-2025,SBI Mutual Fund,,INF200K01T51,197.34470,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
24-09-2025,SBI Mutual Fund,,INF200K01T51,198.88610,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
23-09-2025,SBI Mutual Fund,,INF200K01T51,199.45730,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
22-09-2025,SBI Mutual Fund,,INF200K01T51,200.25390,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
19-09-2025,SBI Mutual Fund,,INF200K01T51,201.30600,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
18-09-2025,SBI Mutual Fund,,INF200K01T51,201.54470,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
17-09-2025,SBI Mutual Fund,,INF200K01T51,201.82000,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
16-09-2025,SBI Mutual Fund,,INF200K01T51,201.17950,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
15-09-2025,SBI Mutual Fund,,INF200K01T51,200.09670,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
12-09-2025,SBI Mutual Fund,,INF200K01T51,199.07160,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
11-09-2025,SBI Mutual Fund,,INF200K01T51,198.98350,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
10-09-2025,SBI Mutual Fund,,INF200K01T51,198.70750,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
09-09-2025,SBI Mutual Fund,,INF200K01T51,198.24440,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
08-09-2025,SBI Mutual Fund,,INF200K01T51,197.44800,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
05-09-2025,SBI Mutual Fund,,INF200K01T51,197.59390,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
04-09-2025,SBI Mutual Fund,,INF200K01T51,197.68870,Equity Scheme - Small Cap Fund,125497,HDFC Top 100 Direct,Open Ended Schemes
